No.;Time;Comment;Scramble;Date;P.1
1109;1.96;;U' D' L B U F U2 L' U' B2 D2 F2 R2 F2 R' D2 R' F2 R';2023-01-01 18:30:43;1.96
1110;1.86;;F2 U' R2 F B2 D R' U2 L' B D2 F' D2 F2 U2 L2 F' R2 D2 B;2023-01-01 18:30:46;1.86
1111;2.18;;U' B U2 R2 F' U2 F' D2 F2 L2 R2 F2 L' F' D' U B' D2 L2 B2;2023-01-02 20:15:10;2.18
1112;1.92;;F R' U2 R B U' B D' R U2 F2 U2 F2 B L2 B R2 D2 B2;2023-01-02 20:15:13;1.92
1113;1.88;;R' L2 D2 F2 D L2 D' R2 U F2 L2 U B' R D B' F L D B;2023-01-02 20:15:15;1.88
1114;2.34;;R B' U R' D' L U2 F' D L2 D2 B2 R2 U2 B' R2 F' D2 B R2 B';2023-01-02 20:15:19;2.34
1115;1.96;;U' B R' U' B D' L' F' U R2 D2 F2 R2 U2 B2 R L2 B2 L U2 R;2023-01-02 20:15:23;1.96
1116;1.95;;B2 R L2 B' U' F2 L D F2 U2 F' L2 B2 R2 F' U2 L2 D2 F';2023-01-02 20:15:27;1.95
1117;2.12;;R2 D2 R2 D2 R2 U2 F2 U B2 R2 F2 L U2 F L' D2 L2 U2 F R' U';2023-01-02 20:15:31;2.12
1118;2.34;;L' D' B U2 B' U2 F' R2 F L2 F R2 B2 F' R' F' L' U' B R D';2023-01-02 20:15:35;2.34
1119;2.15;;R D B2 U F2 D' R2 F2 L2 F2 D2 U R2 F' D R2 B' F2 L' R' D2;2023-01-02 20:15:38;2.15
1120;1.99;;L2 B2 F2 D U2 F2 D' L2 U2 R2 B2 R2 B R' D L F R' D' B' D';2023-01-02 20:15:43;1.99
1121;3.18;;B2 R2 B2 R2 U2 B L2 D2 R2 B2 D2 R D R' D R2 U' L2 B U F;2023-01-03 19:33:51;3.18
1122;2.51;;R' L F D' F L U' B2 R B' R2 D2 L2 B2 R2 F R2 D2 L2 U2;2023-01-03 19:33:55;2.51
1123;2.22;;D2 L D' B2 U' B2 L2 D2 R2 D' U2 B2 U' L2 R' F U B L2 R B2;2023-01-03 19:33:59;2.22
1124;2.06;;B2 L2 R' U2 R' U2 R' F2 U2 F2 R' B' D2 R D L R2 D' F' L;2023-01-03 19:34:03;2.06
1125;2.25;;F2 B' D' L2 D F' D U2 B2 D2 B2 L' D2 R U2 L2 B2 L2 D2 F D';2023-01-03 19:34:06;2.25
1126;2.86;;F U R2 D L2 U L2 F2 D F2 U' F2 R2 L' B D2 L B2 L' D2;2023-01-03 19:34:10;2.86
1127;2.15;;D B' D2 R' B' L' B' L2 U2 L2 D2 B2 R2 F' D2 B2 U2 L2;2023-01-03 19:34:13;2.15
1128;2.80;;U F2 B L2 U2 F' L' F' R2 F2 U L2 B2 D' R2 U B2 U' L2 D2;2023-01-03 19:34:16;2.80
1129;1.99;;D F' D2 U2 F' L2 D2 B2 F' U2 F' L2 F2 R B D' R2 B2 D' B R;2023-01-03 19:34:21;1.99
1130;2.08;;R U2 F2 L' U2 R D2 F2 L B2 D2 U L' B2 L' B' D U' F' D';2023-01-03 19:34:24;2.08
1131;2.25;;L' F2 R' B2 U2 F2 D2 R' F2 D2 L2 F2 B' L' B F D' F2 R2 F2 L;2023-01-07 00:41:18;2.25
1132;1.83;;L2 U L2 B2 D' U' B2 U R2 U' F2 R' D U' B L U R2 D' L2;2023-01-07 00:41:21;1.83
1133;1.83;;B' D2 R2 B U2 R2 F R2 U2 R2 U R2 F' L' D2 R B2 D2 U2;2023-01-07 00:41:24;1.83
1134;1.71;;D' F R2 U' B2 L2 U2 F2 R2 D2 U L2 R U2 B D' F2 L2 D';2023-01-07 00:41:27;1.71
1135;2.12;;R' D' L B' U' B2 R' B R F' B U2 L2 F' U2 R2 F2 U2 D2;2023-01-07 00:41:29;2.12
1136;2.15;;D F2 R' F2 B U L' U2 D2 F' D2 L2 B U2 F' U2 F' U2 B' R';2023-01-07 00:41:34;2.15
1137;1.73;;R' L2 D2 B2 R2 U L2 D' U R2 F2 U' L' F2 R2 F' R U R F D';2023-01-07 00:41:37;1.73
1138;2.35;;B2 U2 R2 B2 D2 L2 B2 F L2 B D' L U' L R' U B2 D2 R;2023-01-07 00:41:40;2.35
1139;1.96;;R' B2 L' F2 L' R2 D2 L2 U2 F2 U' F' L2 B D2 U2 B' L2 B;2023-01-07 00:41:44;1.96
1140;2.48;;R' F L2 B2 D' R2 B2 F2 U' F2 D' U2 R' U L U B2 R2 B' R2;2023-01-07 00:41:47;2.48
1141;2.40;;L F2 U L2 U' R2 B2 U' B2 D2 R2 F2 R' F' R B L U' R2 D' U2;2023-01-07 23:41:49;2.40
1142;1.80;;D F2 D2 U B2 R2 U2 R2 F2 R2 B2 L' B D R' B2 F R2 U2 R F;2023-01-07 23:41:52;1.80
1143;1.80;;R2 F D L2 B2 D2 R2 U' L2 U' B2 U R2 F2 L F' L' F2 D' R2 B;2023-01-07 23:41:55;1.80
1144;2.09;;U R2 D2 R2 U2 F2 U R2 F2 L2 U2 B' D2 U2 R B2 U' B' D F' D;2023-01-07 23:41:58;2.09
1145;1.83;;U' F2 D2 L U2 R' F2 R' F2 L2 D2 R' F2 D L' U B F' U L D';2023-01-07 23:42:01;1.83
1146;1.86;;L' D2 L2 D2 R2 F2 L2 B' R2 U2 F' D2 U' F2 L' D2 U' L' D B';2023-01-07 23:42:03;1.86
1147;2.12;;U2 R2 F' U2 F' R2 F' D2 L2 R2 F L F' U R F2 U R2 F2 R';2023-01-07 23:42:06;2.12
1148;1.92;;D F R2 U' F' L B D U2 B2 D2 R2 D2 F U2 R2 B' D2 F';2023-01-07 23:42:09;1.92
1149;2.09;;L2 D2 F R' B U B' D' R F U2 F' L2 B2 L2 F U2 F D2 F';2023-01-07 23:42:12;2.09
1150;1.73;;U R2 F D2 R' F' R' B U L2 D B2 R2 B2 U2 L2 U D2 F2 B2;2023-01-07 23:42:15;1.73
1151;1.90;;B D2 L2 U2 R B2 L' F2 R2 U2 R' U2 R' B' L R B' U F' R D2;2023-01-08 17:43:26;1.90
1152;1.86;;D R2 F' D2 B' U2 B U2 F2 R2 F' R2 F2 D U' R' D F2 R2 F D;2023-01-08 17:43:29;1.86
1153;2.12;;U' F2 R2 F U2 B2 U2 R2 B L2 D2 U F2 R' D B R B;2023-01-08 17:43:32;2.12
1154;2.22;;R B2 D2 B2 F2 D L2 D R2 U' L F' L' F L2 F L2 R2 D';2023-01-08 17:43:35;2.22
1155;1.93;;U R U2 F2 L2 U F2 U L2 D' U2 R2 B2 L B' L F R F2 D L2;2023-01-08 17:43:38;1.93
1156;1.86;;R2 F2 D2 R2 D2 B' L U B2 U2 R D2 B2 R2 L U2 B2 U2;2023-01-08 17:43:41;1.86
1157;2.35;;D F2 D' F2 U' R2 D L2 B2 U' F2 U' F' L' U L' D' B R2 D' R2;2023-01-08 17:43:43;2.35
1158;1.93;;B' R U2 L' U D2 L B' F2 D B2 L2 U R2 U2 R2 D' R2 U';2023-01-08 17:43:47;1.93
1159;2.00;;U' D2 L' B2 L D2 R2 B2 R' B2 R' D2 L D' B2 F2 U R' F' R D';2023-01-08 17:43:53;2.00
1160;1.96;;F' B2 D U L2 R2 D F2 L2 R2 U' L2 F' U2 R' D' F R F;2023-01-08 17:43:58;1.96
1161;1.70;;F' D F' D2 B' L2 D2 F2 L2 F U2 F' R2 F' R' U B' F2 L R2 D;2023-01-09 20:00:57;1.70
1162;1.96;;U' B2 R2 U2 L2 B' D2 L2 B L2 D2 F' L' D B U' F' R U2 B2 F';2023-01-09 20:00:59;1.96
1163;2.60;;R' L' U' B' L2 F' U R L2 D R2 U D2 F2 L2 U' R2 U B2 R;2023-01-09 20:01:02;2.60
1164;2.01;;D' B2 R U2 L2 B2 L' B2 R' U2 B2 R' B' D' R D L' B2 D' U';2023-01-09 20:01:05;2.01
1165;2.18;;R2 B2 R2 B2 D2 U L2 D' F2 U2 L D U2 R' B' D L' B F2 D;2023-01-09 20:01:08;2.18
1166;1.83;;B2 R F2 D2 L2 F2 L2 U2 L R2 U' R' B' R2 D2 U F D' F;2023-01-09 20:01:10;1.83
1167;1.99;;L2 R2 U L2 B2 U' B2 U' F2 R2 U' B2 R' U' L' F' R F L' D' L;2023-01-09 20:01:13;1.99
1168;2.18;;U' L F R2 B R2 D2 R2 B' U' L B D2 F D F' R;2023-01-09 20:01:16;2.18
1169;2.24;;B L B2 L2 R U2 R' U2 B2 D2 L2 B2 U B D' U2 F U2 F' L B';2023-01-09 20:01:19;2.24
1170;2.37;;B' D B2 R' U L' D' L U L2 U2 D' B2 U2 B2 L2 D R2 D' B;2023-01-09 20:01:22;2.37
1171;2.04;;R U' R' D B2 D B2 U F2 U2 L2 R2 F2 B U2 L U' B' F2 D';2023-01-10 20:08:51;2.04
1172;2.63;;L B2 R2 D2 B2 F2 R' D2 R' U2 B2 U2 F R U R2 D2 B R' D R2;2023-01-10 20:08:54;2.63
1173;2.12;;L' F U L' B2 D' L2 B L' D2 B2 R B2 U2 R' D2 L' F2 L B';2023-01-10 20:08:57;2.12
1174;2.04;;U2 L2 D2 B' R2 F' D2 U2 L2 B R2 F D' F' D2 L' U' R' D' U' F2;2023-01-10 20:09:00;2.04
1175;1.89;;F' D2 F' B2 R L2 F U' R2 L2 D' R2 D2 B2 R2 L2 U' R F;2023-01-10 20:09:03;1.89
1176;2.84;;R B' D B2 U2 L2 R2 U B2 L2 B2 L2 D' R2 F' R F2 R B2 L2 R2;2023-01-10 20:09:07;2.84
1177;2.34;;F D2 F2 D2 L2 F D2 B U2 F2 R B D2 F' U B' D L B' D';2023-01-10 20:09:11;2.34
1178;2.14;;U2 L U R' F U' B U D2 F' D2 R2 F' D2 F' D2 R2 L2 F L2;2023-01-10 20:09:14;2.14
1179;3.04;;R' F2 L' U' B' U' F L F' D2 L2 U R2 U' L2 F2 B2 U' L2 F2 U';2023-01-10 20:09:16;3.04
1180;1.92;;D2 F L2 B U2 B2 F' U2 R2 F U B L2 B L' F' R D2 F D;2023-01-10 20:09:20;1.92
1181;2.28;;U' R D' R U2 R2 F' D L U2 L2 U2 F' D2 F2 B' R2 L2 D2 B L2;2023-01-11 20:12:00;2.28
1182;2.05;;B D R2 B U2 B U2 F2 U2 R2 B F' R2 D2 L' F U L D2 F' L';2023-01-11 20:12:04;2.05
1183;2.28;;R2 B2 F U2 F L2 B' R2 F' D2 L D2 B D R2 U' R U' F D';2023-01-11 20:12:07;2.28
1184;2.01;;D F' L B2 R2 D' B L B2 L2 U D B2 D' F2 U' R2 F2 D L';2023-01-11 20:12:10;2.01
1185;2.12;;U2 R D F2 R2 U2 F2 U F2 U' L2 D' F2 U2 B' U2 L' B' L2 F R';2023-01-11 20:12:13;2.12
1186;1.99;;B2 L B R2 D' B2 D L2 B2 U L2 U R2 D' R F2 U' B' D U' R;2023-01-11 20:12:16;1.99
1187;1.92;;R2 F2 U L D' F2 L' D2 B' U2 B2 U' L2 U L2 F2 R2 L2 U L2 B2;2023-01-11 20:12:19;1.92
1188;2.05;;D2 F' L D R B' R' L U F2 L2 U' D' R2 L2 B2 U' L2 D' B2 R';2023-01-11 20:12:25;2.05
1189;1.96;;L2 D' R2 D R2 U' L2 F2 U R2 F2 B L D2 F R2 F' D F2 R;2023-01-11 20:12:30;1.96
1190;2.18;;F' B2 L2 U' F D' R B2 D' R2 U L2 U' R2 F2 L D2;2023-01-11 20:12:33;2.18
1191;2.59;;D B2 R F2 D2 L' B2 F2 L2 D2 F2 D2 B' U L D F R' D L2;2023-01-12 20:15:21;2.59
1192;1.92;;R' F' R' L D' B2 L U D2 R2 F U2 R2 B R2 L2 B2 R2 B D2;2023-01-12 20:15:24;1.92
1193;2.24;;B' D' R' D' U L2 F2 D2 B2 R2 U' L2 U L' R2 B' L R2 F U2;2023-01-12 20:15:29;2.24
1194;2.15;;F L2 D L2 F2 D2 U B2 F2 R2 D2 R D' F R2 B U L2 R2;2023-01-12 20:15:32;2.15
1195;1.85;;U' L' F2 U' R2 U R U' F B R2 L2 F2 D F2 U2 L2 U2 B2 R2 U2;2023-01-12 20:15:36;1.85
1196;2.63;;B' R' F' L2 B' L' U' L' D' B2 U2 L' F2 B2 U2 R2 U2 R' D2 L';2023-01-12 20:15:38;2.63
1197;1.98;;R' D F D' B' U2 D R F' R2 U B2 U2 D' B2 U' F2 D' B2 L2 F2;2023-01-12 20:15:44;1.98
1198;1.99;;U R' D2 U2 R2 B2 R D2 L2 B2 D2 B2 D L2 R2 D L' D2 B R';2023-01-12 20:15:47;1.99
1199;1.99;;L F2 L2 B' F2 D2 B' R2 U2 L2 U2 B' D2 L D' R2 U' R' B D R2;2023-01-12 20:15:50;1.99
1200;1.89;;F' B2 L U2 D R' D B D2 R2 D2 F2 R2 B' R2 F2 U2 F' D L2;2023-01-12 20:15:54;1.89
1201;2.07;;R F B2 U' F D' R' F2 R2 U2 F L2 U2 B2 U;2023-01-14 12:30:58;2.07
1202;1.85;;L' F2 D' L2 R2 U' F2 D U2 B2 D' R B D L' B2 D' U2 B U';2023-01-14 12:31:01;1.85
1203;1.95;;R U2 L' B2 D R' L' U2 F2 R2 B U2 B' L2 F R2 U2 R2 B U' R2;2023-01-14 12:31:04;1.95
1204;1.93;;R F U2 L' B U' B R2 B2 L' D2 L' D2 B2 R F2 R L F D2;2023-01-14 12:31:07;1.93
1205;1.89;;B L2 D' F' R' F' L U F' R L U2 F2 U2 D2 L B2 L B2 R';2023-01-14 12:31:11;1.89
1206;2.11;;U2 F' U2 L B D2 F D' B' U' R2 U' F2 L2 U' B2 L2 U' L2 D;2023-01-14 12:31:14;2.11
1207;2.82;;R2 D2 L2 D' F2 U B2 L2 R2 U' F2 L' B F L F D2 L' D' U' F2;2023-01-14 12:31:17;2.82
1208;1.82;;F2 L2 D2 F2 L2 D' B2 L2 D B2 D F' L' B F D' L' F' U F' R';2023-01-14 12:31:21;1.82
1209;2.05;;U2 F R2 B U2 B' R2 U2 B' L2 R' B' L' D' U2 B' L' R' F;2023-01-14 12:31:23;2.05
1210;1.99;;F' L' B2 R U2 B2 R2 D2 B2 R' U2 B2 R U R2 F R F D' B2 L;2023-01-14 12:31:27;1.99
1211;2.34;;U' R2 L2 F' R2 D' R F' R2 D2 B D2 B D2 R2 F U2 R2 D' F' U2;2023-01-15 23:54:56;2.34
1212;2.18;;D2 F' U' F2 D L2 R2 D' B2 U' L2 U' F2 D2 R' B' D2 L2 B' L2;2023-01-15 23:54:59;2.18
1213;2.47;;F U2 R' U2 B' U2 L U B U' F2 L2 B2 D2 L2 D R2 D' R2;2023-01-15 23:55:02;2.47
1214;2.21;;U L2 D2 L2 U' L2 F2 U' L2 D L2 U F' U' B' R2 B R' F' D U';2023-01-15 23:55:05;2.21
1215;2.53;;B U' R2 U2 R U F2 D L' B' D' L2 F2 U L2 D B2 U2 L2 B2;2023-01-15 23:55:10;2.53
1216;2.50;;L2 U B2 R2 F2 D' B2 U2 L2 U' L2 U' L' B R' F2 L D U2 F' L;2023-01-15 23:55:13;2.50
1217;2.08;;B2 D R D2 B U R L D' B2 U2 D' L2 D' R2 L2 D2 B2 R2 F';2023-01-15 23:55:16;2.08
1218;1.92;;R' B' D' F2 U2 B' U' B2 R2 D2 F2 R D2 L' B2 D2 B2 R' F;2023-01-15 23:55:25;1.92
1219;1.86;;R' F D2 L2 F' D2 U2 B F2 L2 U2 F D' L' U' F2 D' L R2 F';2023-01-15 23:55:31;1.86
1220;2.02;;U F' B D' R L2 U' R' D F2 L2 F B' R2 D2 F' R2 D2 R2 F2;2023-01-15 23:55:33;2.02
1221;2.70;;B2 R F2 L U2 R F2 L' F2 L' U2 L B' D U' L' D L' F R;2023-01-18 20:10:50;2.70
1222;1.86;;B2 D F' B' U' L U2 D L B2 D2 R D2 R' F2 B2 D2 F2 R U2;2023-01-18 20:10:54;1.86
1223;2.38;;B F2 R2 F2 U2 L F2 R B2 R' B2 R' U' R2 F' U L U B U';2023-01-18 20:10:57;2.38
1224;1.86;;F2 U' B2 L2 U' R2 D R2 B2 F2 D2 L' B2 R' D R F' U' B R' D';2023-01-18 20:11:00;1.86
1225;2.02;;R' F R2 F2 R2 F2 R2 D U2 B2 U2 L2 U' F2 R F' D U2 F' U' R;2023-01-18 20:11:03;2.02
1226;2.03;;U L2 F2 U L2 U' B2 D B2 L2 B L D' R' B2 R D2 R2 F2;2023-01-18 20:11:06;2.03
1227;2.51;;D F2 L2 D2 L2 D2 U' R2 U F2 L F2 D2 B U F2 U2 L2 F L';2023-01-18 20:11:09;2.51
1228;1.92;;L2 D' B2 U' F U R2 F D2 F2 U2 R2 L' D2 F2 L U2 F2 L2;2023-01-18 20:11:13;1.92
1229;2.01;;R2 D2 F2 U' B2 U L2 U' B2 F2 R' B2 U L' F' R' D2 L F2 U;2023-01-18 20:11:16;2.01
1230;2.02;;D' F2 D' F2 U' L2 B2 L2 D' U2 B U2 L' F' U L2 R' D R2 D;2023-01-18 20:11:19;2.02
1231;1.80;;L2 B2 F2 U F2 R2 D2 B2 R2 F2 L' B2 L D' R2 U F D2 L2;2023-01-20 19:44:23;1.80
1232;1.73;;U B2 L2 D2 B2 F2 U' L2 R2 U2 B2 F R' D F2 R D F R B L;2023-01-20 19:44:25;1.73
1233;1.71;;R F2 R' U' R F B' D F' R' D2 R2 U2 B2 R2 B2 D2 R F2 B2;2023-01-20 19:44:28;1.71
1234;1.86;;F2 L D' R2 F2 U' L2 U R2 D' L2 D' R2 B' R F2 U2 F D' F';2023-01-20 19:44:52;1.86
1235;2.38;;D2 F2 U' F2 U R2 U L2 U2 B2 L R' D' F' U B' D B' D2;2023-01-20 19:44:55;2.38
1236;1.83;;B U2 B' D2 B' L2 F2 U2 R2 F' R2 L B U' R F2 U' R F' U' F2;2023-01-20 19:45:07;1.83
1237;2.44;;R U' F' D2 L D B R F2 B R2 L2 U2 F R2 L2 F2 U2 F R';2023-01-20 19:45:10;2.44
1238;1.96;;B U L2 F2 L B2 R B2 R' D2 B2 L D2 R' B L' R' F R U L;2023-01-20 19:45:13;1.96
1239;1.90;;B D' B' D2 R2 B' D2 F U2 B' F2 D2 U2 R2 L' D' L2 R' F L' B';2023-01-20 19:45:18;1.90
1240;1.86;;L B2 L' F U R D' B' L2 F' R2 F' U2 B' D2 F L2 D' L';2023-01-20 19:45:20;1.86
1241;1.92;;B2 L F U2 F L2 U2 B' F' U2 F' U2 R' B' F2 D U' R' D;2023-01-21 10:41:47;1.92
1242;1.99;;B2 R2 D' L2 D2 R2 F2 R2 U F2 U' F R' B' D F' D F' R D;2023-01-21 10:41:50;1.99
1243;2.08;;L D B2 D F2 D2 L2 D' B2 L2 U F2 B U' R2 B2 D U' B' U';2023-01-21 10:41:54;2.08
1244;2.92;;D R2 D' F2 U R2 F2 U' B2 U F U2 B R F' D2 R' B2 U';2023-01-21 10:41:58;2.92
1245;2.21;;R2 U B2 F2 L2 U' R2 U2 B2 D2 U' F' R' U F' L' D2 F D2 B R2;2023-01-21 10:42:02;2.21
1246;1.99;;B2 F D2 B' R2 D2 L2 D2 F U2 L2 D' F R' U2 R' F2 D2 R F;2023-01-21 10:42:11;1.99
1247;1.99;;U' R2 D2 U L2 F2 D U' F2 B D2 U2 R U R' F U2 L D';2023-01-21 10:42:14;1.99
1248;1.70;;D2 F2 U L2 D R2 F2 R2 U2 F2 U2 F' L R2 D' F2 D F' L' B' L';2023-01-21 10:42:17;1.70
1249;3.37;;L B D2 B' U2 B' L2 R2 F' L2 F' U2 D B' U2 B' L U R' D;2023-01-21 10:42:19;3.37
1250;1.76;;U R2 U2 R2 U2 R D2 L B2 R' F2 R B U R' F U2 L2 R2 U';2023-01-21 10:42:23;1.76
1251;1.99;;B2 R' U2 R2 U2 R D2 F2 R' U2 F2 D2 B L' U R' F R' B;2023-01-22 11:17:59;1.99
1252;1.80;;D B2 D2 L2 R2 B' F2 U2 R2 F U2 R2 F D' L2 B2 L D' F' R U;2023-01-22 11:18:03;1.80
1253;1.89;;U' R' F' L2 F2 D B2 L2 D' F2 D R2 B2 F' L' B' L' D R D2;2023-01-22 11:18:07;1.89
1254;2.22;;D' B D2 F2 D2 U2 F R2 B R2 D2 F' U B2 L' B' R' U' F R;2023-01-22 11:18:10;2.22
1255;2.32;;R2 B2 U2 F2 D' B2 U R2 F2 U2 B2 U2 L' D' R2 F' L' R' U' R2 B2;2023-01-22 11:18:15;2.32
1256;1.92;;R2 F' R2 U2 L F R' F2 R2 L2 U' L2 D R2 B2 L2 F2 U' R' B;2023-01-22 11:18:18;1.92
1257;2.28;;R2 F2 R2 D B2 L2 D' F2 D2 R2 U F' U2 F U2 L' R2 B' D' L' F';2023-01-22 11:18:22;2.28
1258;2.06;;L B2 U2 B2 R2 B2 L F2 R' D2 R B' L2 R' D R' B L' U2 B2 U2;2023-01-22 11:18:25;2.06
1259;1.99;;D' L2 F R2 F2 L2 U' L2 U' R2 U2 L2 F2 D2 R' B' F L F D2 L;2023-01-22 11:18:30;1.99
1260;1.96;;U2 F2 D2 L' B2 R' U2 R2 U2 F2 L2 U R2 D F R B2 F U2 R;2023-01-22 11:18:32;1.96
1261;2.24;;D2 R' U R2 D B2 L2 B2 U L2 D' B2 D' R B R F L B2 D F2;2023-01-23 09:26:59;2.24
1262;2.00;;F2 L2 D2 R2 F2 U' R2 D L2 B2 D' F U2 L B R' B D U2 B;2023-01-23 09:27:04;2.00
1263;2.34;;R D R2 U' R2 U' L B D2 R U2 L B2 U2 D2 L' F2 U2 R' U';2023-01-23 09:27:07;2.34
1264;1.96;;U R' B2 R B D' L R2 D2 F' R2 F L2 U2 B2 R2 D2 F' R2 D';2023-01-23 09:27:17;1.96
1265;2.02;;U' R' D B U F L' U2 B' L2 B2 U B2 D' L2 U' F2 U' F2 R2 L;2023-01-23 09:27:20;2.02
1266;2.47;;U R' F R2 F2 D R2 D B2 R2 D2 U' L2 B L2 D R' U2 B U';2023-01-23 09:27:23;2.47
1267;1.92;;R2 B2 L2 B2 D B2 F2 U F2 D' R2 U F' D L2 R' D2 U R' B' L;2023-01-23 09:27:29;1.92
1268;2.41;;F' D R F U D2 B L' D2 L B2 L F2 U2 B2 L2 D2 F2 R2 B';2023-01-23 09:27:32;2.41
1269;2.50;;B U2 D L' D' F D F R2 L2 D R2 F2 L2 U' L2 U' F2 U' B2 L';2023-01-23 09:27:39;2.50
1270;1.96;;U L2 U2 B L2 U2 L2 F' U2 F' D2 U R2 F2 L B' F' D F2 R';2023-01-23 09:27:42;1.96
1271;2.02;;R2 D' B2 F2 U F2 U2 B2 U R2 U L U' B U R F D' F L2;2023-01-24 11:37:40;2.02
1272;2.34;;U' D L2 F2 B2 D L' U2 F' U2 F R2 B L2 B' U2 B R2 B2 R D';2023-01-24 11:37:43;2.34
1273;2.08;;U2 L U B' R' U' R2 D' F' B2 D F2 U' B2 L2 F2 B2 D';2023-01-24 11:37:46;2.08
1274;1.95;;F' D' L F D' F2 R L' B' R' B2 L2 U' D' L2 D L2 F2 L2 F2 D';2023-01-24 11:37:49;1.95
1275;2.25;;R' L' D' B2 R F' B' R2 U F2 U2 R2 L' D2 L' U2 R' F2 B2 U2;2023-01-24 11:37:52;2.25
1276;2.60;;R L' F' U' R2 D2 R B2 D' U2 F2 U2 L' D2 L2 F2 B2 L B2;2023-01-24 11:37:55;2.60
1277;1.86;;R2 B' U2 F2 R2 U' R2 D' F2 U L2 D2 R B' D' F' L2 U2 L B';2023-01-24 11:38:00;1.86
1278;2.15;;F2 U L2 D' R2 F2 U' L2 B' L D L B' R' D B2 U B';2023-01-24 11:38:02;2.15
1279;1.86;;U2 L2 B2 R' F2 L' D2 L B2 R F2 D2 B' R2 B2 F L F U;2023-01-24 11:38:05;1.86
1280;1.96;;B U2 L2 F' R2 B L2 D2 B2 R2 F U' L R' U R' F L2 D B';2023-01-24 11:38:08;1.96
1281;3.08;;D' U2 B2 L' B2 L' U2 L' U2 R2 B2 D2 L' D U2 B L' F D' L R2;2023-01-25 11:29:08;3.08
1282;2.06;;L' D2 L U2 R F2 R D2 B2 L2 D2 R B D2 R U2 R U' L' B F2;2023-01-25 11:29:13;2.06
1283;2.00;;L' D2 B' D B2 F2 R2 U' B2 U' L2 R2 U2 R2 F L U L2 B' R' D;2023-01-25 11:29:19;2.00
1284;2.31;;B2 L2 B2 L F2 R F2 R' B2 R' B2 U' L' B' D' F R' U2 F' R;2023-01-25 11:29:22;2.31
1285;2.02;;L2 D F2 U' L2 D' B2 D2 F2 R2 B2 U2 F R' U2 R F' U' L' F L';2023-01-25 11:29:25;2.02
1286;3.66;;R F' L2 D' R B2 U' F' R B2 L2 U2 B2 R2 F L2 D2 B' L2 B;2023-01-25 11:29:27;3.66
1287;2.60;;D F2 D F2 R2 F2 U F2 R2 D F D' L2 B D R' U2 L D' U';2023-01-25 11:29:32;2.60
1288;2.73;;L2 U2 F2 U' L2 U' R2 F2 R2 D2 F L U' B L2 B R U2 R D2;2023-01-25 11:29:35;2.73
1289;1.87;;U' B2 D2 F' L2 U2 F' R' F B2 R2 B2 D' B2 D2 L2 B2 U' D';2023-01-25 11:29:39;1.87
1290;2.09;;D2 B2 R2 U B2 F2 U L2 D2 F2 R F' U2 B2 F R U' L B2 D;2023-01-25 11:29:41;2.09
1291;1.80;;U' R2 B2 L' U' F D L D2 R' D2 L D2 F2 U2 D2 R2 B2 D' F2;2023-01-26 19:33:35;1.80
